round,race,Lando Norris,Max Verstappen,Oscar Piastri,George Russell
1,Australia,26,18,2,15
2,China,46,36,34,35
3,Japan,64,61,49,45
4,Bahrain,79,69,75,63
5,Saudi Arabia,92,87,100,73
6,Miami,119,99,132,93
7,Emilia Romagna,137,125,147,99
8,Monaco,163,137,162,99
9,Spain,181,138,188,111
10,Canada,181,156,200,137
11,Austria,206,156,219,147
12,Britain,231,166,238,148
13,Belgium,255,186,270,158
14,Hungary,280,188,288,174
15,Netherlands,280,206,314,186
16,Italy,299,231,329,196
17,Azerbaijan,305,257,329,214
18,Singapore,320,275,341,239
19,United States,338,308,351,254
20,Mexico City,363,323,361,261
21,São Paulo,396,343,371,279
22,Las Vegas,396,369,371,297
23,Qatar,414,399,398,312
24,Abu Dhabi,429,424,416,322
