country,winner
Australia,Lando Norris
China,Oscar Piastri
Japan,Max Verstappen
Bahrain,Oscar Piastri
Saudi Arabia,Oscar Piastri
United States,Oscar Piastri
Italy,Max Verstappen
Monaco,Lando Norris
Spain,Oscar Piastri
Canada,George Russell
Austria,Lando Norris
United Kingdom,Lando Norris
Belgium,Oscar Piastri
Hungary,Lando Norris
Netherlands,Oscar Piastri
Italy,Max Verstappen
Azerbaijan,Max Verstappen
Singapore,George Russell
United States,Max Verstappen
Mexico,Lando Norris
Brazil,Lando Norris
United States,Max Verstappen
Qatar,Max Verstappen
UAE,Max Verstappen
