title,year,platform,generation,type,metacritic_score
Pokemon Ruby / Sapphire,2002,Game Boy Advance,3,Mainline,82
Pokemon FireRed / LeafGreen,2004,Game Boy Advance,3,Mainline,81
Pokemon Emerald,2004,Game Boy Advance,3,Mainline,76
Pokemon Diamond / Pearl,2006,Nintendo DS,4,Mainline,85
Pokemon Platinum,2008,Nintendo DS,4,Mainline,83
Pokemon HeartGold / SoulSilver,2009,Nintendo DS,4,Mainline,87
Pokemon Black / White,2010,Nintendo DS,5,Mainline,87
Pokemon Black 2 / White 2,2012,Nintendo DS,5,Mainline,80
Pokemon X,2013,Nintendo 3DS,6,Mainline,87
Pokemon Y,2013,Nintendo 3DS,6,Mainline,88
Pokemon Omega Ruby,2014,Nintendo 3DS,6,Mainline,83
Pokemon Alpha Sapphire,2014,Nintendo 3DS,6,Mainline,82
Pokemon Sun,2016,Nintendo 3DS,7,Mainline,87
Pokemon Moon,2016,Nintendo 3DS,7,Mainline,87
Pokemon Ultra Sun,2017,Nintendo 3DS,7,Mainline,84
Pokemon Ultra Moon,2017,Nintendo 3DS,7,Mainline,84
Pokemon: Let's Go Pikachu!,2018,Nintendo Switch,8,Mainline,79
Pokemon: Let's Go Eevee!,2018,Nintendo Switch,8,Mainline,80
Pokemon Sword,2019,Nintendo Switch,8,Mainline,80
Pokemon Shield,2019,Nintendo Switch,8,Mainline,80
Pokemon Brilliant Diamond,2021,Nintendo Switch,4,Mainline,73
Pokemon Shining Pearl,2021,Nintendo Switch,4,Mainline,73
Pokemon Legends: Arceus,2022,Nintendo Switch,8,Mainline,83
Pokemon Scarlet,2022,Nintendo Switch,9,Mainline,72
Pokemon Violet,2022,Nintendo Switch,9,Mainline,71
Pokemon Legends: Z-A,2025,Nintendo Switch,9,Mainline,82
Pokemon Channel,2003,Nintendo GameCube,,Spin-off,55
Pokemon Pinball: Ruby & Sapphire,2003,Game Boy Advance,,Spin-off,81
Pokemon Dash,2004,Nintendo DS,,Spin-off,46
Pokemon Mystery Dungeon: Red Rescue Team,2005,Game Boy Advance,,Spin-off,67
Pokemon Mystery Dungeon: Blue Rescue Team,2005,Nintendo DS,,Spin-off,62
Pokemon Trozei!,2005,Nintendo DS,,Spin-off,74
Pokemon XD: Gale of Darkness,2005,Nintendo GameCube,,Spin-off,64
Pokemon Ranger,2006,Nintendo DS,,Spin-off,69
Pokemon Battle Revolution,2006,Wii,,Spin-off,53
Pokemon Snap,1999,Nintendo 64,,Spin-off,77
Pokemon Stadium 2,2000,Nintendo 64,,Spin-off,78
Pokemon Colosseum,2003,Nintendo GameCube,,Spin-off,73
My Pokemon Ranch,2008,Wii,,Spin-off,47
Pokemon Ranger: Shadows of Almia,2008,Nintendo DS,,Spin-off,68
Pokemon Mystery Dungeon: Explorers of Darkness,2007,Nintendo DS,,Spin-off,59
Pokemon Mystery Dungeon: Explorers of Time,2007,Nintendo DS,,Spin-off,60
Pokemon Mystery Dungeon: Explorers of Sky,2009,Nintendo DS,,Spin-off,54
Pokemon Rumble,2009,Wii,,Spin-off,59
PokePark Wii: Pikachu's Adventure,2009,Wii,,Spin-off,62
Pokemon Ranger: Guardian Signs,2010,Nintendo DS,,Spin-off,68
PokePark 2: Wonders Beyond,2011,Wii,,Spin-off,60
Pokedex 3D,2011,Nintendo 3DS,,Spin-off,69
Pokemon Rumble Blast,2011,Nintendo 3DS,,Spin-off,56
Pokemon Conquest,2012,Nintendo DS,,Spin-off,80
Pokemon Dream Radar,2012,Nintendo 3DS,,Spin-off,54
Pokedex 3D Pro,2012,Nintendo 3DS,,Spin-off,59
Pokemon Mystery Dungeon: Gates to Infinity,2012,Nintendo 3DS,,Spin-off,59
Pokemon Rumble U,2013,Wii U,,Spin-off,49
Pokemon Battle Trozei,2014,Nintendo 3DS,,Spin-off,70
Pokemon Shuffle,2015,Nintendo 3DS,,Spin-off,56
Pokemon Rumble World,2015,Nintendo 3DS,,Spin-off,58
Pokemon Shuffle Mobile,2015,iOS,,Spin-off,62
Pokemon Super Mystery Dungeon,2015,Nintendo 3DS,,Spin-off,69
Pokemon Picross,2015,Nintendo 3DS,,Spin-off,75
Detective Pikachu,2016,Nintendo 3DS,,Spin-off,71
Pokemon Duel,2016,iOS,,Spin-off,63
Pokken Tournament,2016,Wii U,,Spin-off,76
Pokemon: Magikarp Jump,2017,iOS,,Spin-off,64
Pokken Tournament DX,2017,Nintendo Switch,,Spin-off,79
Pokemon Quest,2018,Nintendo Switch,,Spin-off,64
Pokemon Quest,2018,iOS,,Spin-off,62
Pokemon Mystery Dungeon: Rescue Team DX,2020,Nintendo Switch,,Spin-off,69
Pokemon Cafe ReMix,2020,Nintendo Switch,,Spin-off,64
New Pokemon Snap,2021,Nintendo Switch,,Spin-off,79
Pokemon UNITE,2021,Nintendo Switch,,Spin-off,70
Detective Pikachu Returns,2023,Nintendo Switch,,Spin-off,66
Pokemon TCG Pocket,2024,iOS,,Spin-off,75
Pokemon Friends,2025,Nintendo Switch,,Spin-off,62
Pokemon Pokopia,2026,Nintendo Switch 2,,Spin-off,89
Pokemon Sword / Shield: The Isle of Armor,2020,Nintendo Switch,8,DLC,69
Pokemon Sword / Shield: The Crown Tundra,2020,Nintendo Switch,8,DLC,75
Pokemon Scarlet / Pokemon Violet: The Hidden Treasure of Area Zero - Part 1: The Teal Mask,2023,Nintendo Switch,9,DLC,65
Pokemon Scarlet / Pokemon Violet: The Hidden Treasure of Area Zero - Part 2: The Indigo Disk,2023,Nintendo Switch,9,DLC,70
