year,host_city,athlete,sport,event,medal
1948,London,Juan Evangelista Venegas,Boxing,Men's Bantamweight,Bronze
1976,Montreal,Orlando Maldonado,Boxing,Men's Light Flyweight,Bronze
1984,Los Angeles,Luis Ortiz,Boxing,Men's Lightweight,Silver
1984,Los Angeles,Arístides González,Boxing,Men's Middleweight,Bronze
1992,Barcelona,Aníbal Santiago Acevedo,Boxing,Men's Welterweight,Bronze
1996,Atlanta,Daniel Santos,Boxing,Men's Welterweight,Bronze
2012,London,Javier Culson,Athletics,Men's 400m Hurdles,Bronze
2012,London,Jaime Espinal,Wrestling,Men's Freestyle 84kg,Silver
2016,Rio de Janeiro,Mónica Puig,Tennis,Women's Singles,Gold
2020,Tokyo,Jasmine Camacho-Quinn,Athletics,Women's 100m Hurdles,Gold
2024,Paris,Jasmine Camacho-Quinn,Athletics,Women's 100m Hurdles,Bronze
2024,Paris,Sebastián Rivera,Wrestling,Men's Freestyle 65kg,Bronze
